oid,veto_date,label,n_points_alert,mag_min_alert,mag_max_alert,mag_p05_alert,mag_p25_alert,mag_p50_alert,mag_p75_alert,mag_p95_alert,excess_variance_alert,n_points_dr,mag_min_dr,mag_max_dr,mag_p05_dr,mag_p25_dr,mag_p50_dr,mag_p75_dr,mag_p95_dr,excess_variance_dr,distance_delight,hostsize
ZTF24abiyjty,,good,19.0,19.461938858032227,24.995790481567383,19.50620368580322,19.81107508569336,20.195575714111328,22.728458404541016,24.93090076446533,0.0,3.0,19.511122,19.862087,19.5251238,19.581131,19.65114,19.7566135,19.8409923,0.0,21.19401357892782,3.9249796867370605
ZTF24abiyjws,,good,23.0,19.312067,26.92045021057129,19.55449293304444,20.105704307556152,22.009252548217773,23.14244747161865,24.519938087463377,0.0,2.0,19.312067,19.54765,19.32384615,19.37096275,19.4298585,19.48875425,19.53587085,0.0,1.4753890395071658,4.5492939949035645
ZTF24abiykzk,2024-09-26,bad,27.0,19.86905288696289,25.078798294067383,19.91003190930176,20.094326235534663,21.28062438964844,23.35470962524414,24.633207893371583,0.0,5.0,19.91826,20.2208,19.94714,20.06266,20.087954,20.1807,20.21278,0.0,1.1933447204311478,1.2091178894042969
ZTF24abiyvvk,,good,13.0,19.9246,22.35614585876465,19.956442,20.057342529296875,20.186325073242188,20.48255157470703,21.32813568115234,0.0,4.0,19.9246,20.4811,19.9325605,19.9644025,20.053035,20.216575,20.428195,0.0,11.814751234552181,6.134742259979248
ZTF24abiyxye,,good,42.0,19.17693328857422,26.826499938964844,19.312831592559814,19.770975027313234,20.10544865722656,21.80238389968872,24.1204029083252,0.0,11.0,19.281849,20.3451,19.3521295,19.717930000000003,19.85222,19.98578,20.22,0.0490747235837937,25.82863119500861,6.523225784301758
ZTF24abizagi,,good,86.0,19.3861,24.105592727661133,19.44302301773072,19.60966225,19.7518493336792,20.26799353027344,21.62969207763671,0.3977635805056409,51.0,19.3861,20.9278,19.41685,19.5644515,19.701763,20.0803005,20.8986,0.1451128290379714,2.3031440817406965,1.8825199604034424
ZTF24abizouc,,good,29.0,19.597994,24.0271053314209,19.67184576965332,19.8676986694336,20.39786529541016,22.135684967041016,23.741314697265626,0.0,5.0,19.597994,19.9564,19.6322752,19.7694,19.7859,19.815886,19.9282972,0.0,94.23768069567515,8.682539939880371
ZTF24abizqut,,good,111.0,19.19645500183105,25.287885665893555,19.3705883026123,19.549875506652832,19.7977,20.834193229675293,23.859103202819824,0.0,39.0,19.3201,20.5635,19.379346700000003,19.4994285,19.683146,19.8203515,20.34324,0.0595422160315138,65.6407023037815,8.328232765197754
ZTF24abizspq,,good,76.0,16.217052,28.09467315673828,16.304805647003175,16.81482833679199,17.206009834228517,19.346036542022706,23.456137657165527,0.0,,,,,,,,,,38.12740677453856,10.79405689239502
ZTF24abizubg,,good,26.0,20.0516,25.049156188964844,20.060199533843992,20.23844975765991,21.09262084960937,22.40333271026612,24.74184656143188,0.0,4.0,20.0516,20.2992,20.053325,20.060225,20.149917,20.2523505,20.2898301,0.0,19.5163883151198,0.8226073384284973
