oid,veto_date,label,n_points_alert,mag_min_alert,mag_max_alert,mag_p05_alert,mag_p25_alert,mag_p50_alert,mag_p75_alert,mag_p95_alert,excess_variance_alert,n_points_dr,mag_min_dr,mag_max_dr,mag_p05_dr,mag_p25_dr,mag_p50_dr,mag_p75_dr,mag_p95_dr,excess_variance_dr
ZTF22abhgxvf,,good,1.0,20.646704,20.646704,20.646704,20.646704,20.646704,20.646704,20.646704,0.0,1.0,20.646704,20.646704,20.646704,20.646704,20.646704,20.646704,20.646704,0.0
ZTF22abhhbbq,,good,14.0,20.1878,20.7088,20.21055,20.264454,20.339495,20.5261,20.643215,0.0,14.0,20.1878,20.7088,20.21055,20.264454,20.339495,20.5261,20.643215,0.0
ZTF22abhhlkq,,good,9.0,19.673742,20.4876,19.729182,19.906824,19.9664,20.3332,20.4691348,0.0371571265730341,9.0,19.673742,20.4876,19.729182,19.906824,19.9664,20.3332,20.4691348,0.0371571265730341
ZTF22abhhmwh,2022-09-24,bad,4.0,20.215122,20.5035,20.2271487,20.2752555,20.308100000000003,20.36655,20.47611,0.0,4.0,20.215122,20.5035,20.2271487,20.2752555,20.308100000000003,20.36655,20.47611,0.0
ZTF22abhhrum,2022-09-22,bad,8.0,20.059093,20.71,20.0863727,20.26263375,20.404904,20.5566,20.677625,0.0,8.0,20.059093,20.71,20.0863727,20.26263375,20.404904,20.5566,20.677625,0.0
ZTF22abhhxuv,,good,33.0,18.599068,20.598484,18.635891,18.829048,19.097183,19.822786,20.49432,0.3804637735213574,33.0,18.599068,20.598484,18.635891,18.829048,19.097183,19.822786,20.49432,0.3804637735213574
ZTF22abhifds,2022-09-24,bad,10.0,19.98061,20.9068,20.0437693,20.1763185,20.360275,20.5954225,20.85145,0.0422477067549818,10.0,19.98061,20.9068,20.0437693,20.1763185,20.360275,20.5954225,20.85145,0.0422477067549818
ZTF22abhjbkr,,good,1.0,20.30751,20.30751,20.30751,20.30751,20.30751,20.30751,20.30751,0.0,1.0,20.30751,20.30751,20.30751,20.30751,20.30751,20.30751,20.30751,0.0
ZTF22abhjdev,,good,3.0,20.1924,20.2496,20.1965887,20.2133435,20.234287,20.2419435,20.2480687,0.0,3.0,20.1924,20.2496,20.1965887,20.2133435,20.234287,20.2419435,20.2480687,0.0
ZTF22abhjdlx,2022-09-22,bad,42.0,18.15442,20.228153,18.18888445,18.470393,18.880564,19.42359875,20.1774171,0.4156745375352615,42.0,18.15442,20.228153,18.18888445,18.470393,18.880564,19.42359875,20.1774171,0.4156745375352615
ZTF22abhjebw,,good,13.0,19.92719,21.0174,19.930496,20.0274,20.1425,20.249462,20.664786,0.0305446576938144,13.0,19.92719,21.0174,19.930496,20.0274,20.1425,20.249462,20.664786,0.0305446576938144
ZTF22abhjeep,,good,7.0,19.147177,20.3418,19.1980123,19.3486265,19.814161,20.1672,20.29464,0.1971322159717616,7.0,19.147177,20.3418,19.1980123,19.3486265,19.814161,20.1672,20.29464,0.1971322159717616
ZTF22abhjkok,,good,22.0,19.069902,20.298117,19.106654,19.13348825,19.206613500000003,19.58578,20.0073038,0.1055849893939661,22.0,19.069902,20.298117,19.106654,19.13348825,19.206613500000003,19.58578,20.0073038,0.1055849893939661
ZTF22abhjpmc,,good,10.0,19.559732,20.2752,19.5732095,19.7052865,19.9282725,20.080955,20.210895,0.0164258560910693,10.0,19.559732,20.2752,19.5732095,19.7052865,19.9282725,20.080955,20.210895,0.0164258560910693
ZTF22abhjvmr,,good,35.0,17.9519,18.479486,17.986205,18.199956,18.2572,18.3354,18.4117363,0.0069590473403773,35.0,17.9519,18.479486,17.986205,18.199956,18.2572,18.3354,18.4117363,0.0069590473403773
ZTF22abhjzne,2022-09-22,bad,31.0,18.554567,19.363388,18.6296455,18.846575,18.9358,19.0109525,19.2121125,0.0051142550889593,31.0,18.554567,19.363388,18.6296455,18.846575,18.9358,19.0109525,19.2121125,0.0051142550889593
ZTF22abhklzv,,good,3.0,20.17564,20.4732,20.1810908,20.202894,20.230148,20.351674,20.4488948,0.0,3.0,20.17564,20.4732,20.1810908,20.202894,20.230148,20.351674,20.4488948,0.0
ZTF22abhkqvh,,good,4.0,20.026184,20.3284,20.0540114,20.165321,20.26275,20.31745,20.32621,0.0,4.0,20.026184,20.3284,20.0540114,20.165321,20.26275,20.31745,20.32621,0.0
ZTF22abhkuum,,good,5.0,20.275312,20.6049,20.3147296,20.4724,20.5383,20.5941,20.60274,0.0,5.0,20.275312,20.6049,20.3147296,20.4724,20.5383,20.5941,20.60274,0.0
ZTF22abhlbbr,,good,10.0,20.021,20.4065,20.083775,20.190075,20.2183,20.2806005,20.37962555,0.0,10.0,20.021,20.4065,20.083775,20.190075,20.2183,20.2806005,20.37962555,0.0
ZTF22abhldat,,good,58.0,17.898453,100.0,17.9913171,18.28110725,18.9075715,20.101207,100.0,0.0,50.0,17.898453,20.9065,17.986442699999998,18.17964525,18.7726795,19.431508,20.564725,0.7038675828847482
ZTF22abhlglq,,good,6.0,20.2395,20.7583,20.265749,20.3493125,20.424656,20.5260875,20.703625,0.0,6.0,20.2395,20.7583,20.265749,20.3493125,20.424656,20.5260875,20.703625,0.0
ZTF22abhmarl,,good,4.0,20.23487,20.6523,20.2525145,20.3230925,20.49395,20.639625,20.649765,0.0,4.0,20.23487,20.6523,20.2525145,20.3230925,20.49395,20.639625,20.649765,0.0
ZTF22abhnodr,,good,15.0,20.220804,21.0638,20.223639700000003,20.3381285,20.4459,20.69065,20.9889,0.0239515807310029,15.0,20.220804,21.0638,20.223639700000003,20.3381285,20.4459,20.69065,20.9889,0.0239515807310029
ZTF22abhnrnd,2022-09-23,bad,1.0,19.774134,19.774134,19.774134,19.774134,19.774134,19.774134,19.774134,0.0,1.0,19.774134,19.774134,19.774134,19.774134,19.774134,19.774134,19.774134,0.0
ZTF22abhodtl,,good,33.0,18.4182,20.41078,18.4785228,18.611605,18.891548,19.243519,19.802548,0.2328963680874007,33.0,18.4182,20.41078,18.4785228,18.611605,18.891548,19.243519,19.802548,0.2328963680874007
ZTF22abhoynt,,good,23.0,18.815544,20.5309,18.8633518,19.044759,19.297794,19.5542545,19.986094,0.1479432987906246,23.0,18.815544,20.5309,18.8633518,19.044759,19.297794,19.5542545,19.986094,0.1479432987906246
ZTF22abhoyte,,good,10.0,19.727718,20.903,19.9129596,20.19359175,20.3181125,20.366125,20.778125,0.0406395779621056,10.0,19.727718,20.903,19.9129596,20.19359175,20.3181125,20.366125,20.778125,0.0406395779621056
ZTF22abhozrn,2022-09-24,bad,7.0,19.914064,20.8042,19.9278748,19.9843245,20.1262,20.35515,20.70853,0.0502454396163099,7.0,19.914064,20.8042,19.9278748,19.9843245,20.1262,20.35515,20.70853,0.0502454396163099
ZTF22abhpdpd,,good,7.0,19.271793,20.8436,19.3646361,19.612154,19.6472,19.8539015,20.572892,0.2054971930820344,7.0,19.271793,20.8436,19.3646361,19.612154,19.6472,19.8539015,20.572892,0.2054971930820344
ZTF22abhpiwe,,good,7.0,19.512161,20.1393,19.5306008,19.604267,19.711218,19.906871,20.1243705,0.0292704829676399,7.0,19.512161,20.1393,19.5306008,19.604267,19.711218,19.906871,20.1243705,0.0292704829676399
ZTF22abhpjse,,,1.0,19.223476,19.223476,19.223476,19.223476,19.223476,19.223476,19.223476,0.0,,,,,,,,,
ZTF22abhptkt,2022-09-24,bad,1.0,19.568602,19.568602,19.568602,19.568602,19.568602,19.568602,19.568602,0.0,1.0,19.568602,19.568602,19.568602,19.568602,19.568602,19.568602,19.568602,0.0
ZTF22abhpxfp,,good,3.0,18.912462,19.352373,18.918289,18.941597,18.970732,19.1615525,19.3142089,0.0256083739997347,3.0,18.912462,19.352373,18.918289,18.941597,18.970732,19.1615525,19.3142089,0.0256083739997347
ZTF22abhpyqs,2022-09-30,bad,3.0,19.400505,19.590021,19.410262,19.44929,19.498075,19.544048,19.5808264,0.0,3.0,19.400505,19.590021,19.410262,19.44929,19.498075,19.544048,19.5808264,0.0
ZTF22abhqakm,,good,9.0,19.82805633544922,100.0,19.84143380126953,19.947447,20.15945053100586,100.0,100.0,0.0,3.0,19.8615,19.968885,19.8700947,19.9044735,19.947447,19.958166,19.9667412,0.0
ZTF22abhqmcw,2022-09-24,bad,49.0,19.664270401000977,20.8344,19.903019658203124,20.1007,20.23532485961914,20.4215,20.63610294433593,0.0031994608680067,27.0,19.8952,20.8344,19.9792078,20.1330115,20.2847,20.4488,20.65006,0.0
ZTF22abhsiud,2022-09-24,bad,8.0,20.154648,21.0445,20.20274045,20.30801125,20.3641405,20.6280055,20.9836,0.0403866236177757,8.0,20.154648,21.0445,20.20274045,20.30801125,20.3641405,20.6280055,20.9836,0.0403866236177757
ZTF22abhsjdf,,good,36.0,19.397043,20.7365,19.43865475,19.6084935,19.858097,20.21777425,20.571975,0.1170032394585632,36.0,19.397043,20.7365,19.43865475,19.6084935,19.858097,20.21777425,20.571975,0.1170032394585632
